id,link,neighborhood,price,listing_type,num_guests,num_bed,num_bath,shared_bath,num_ammenities,number_review,overall_review,accuracy,communication,cleanliness,value,check_in,location
9240346,https://www.airbnb.com/rooms/9240346?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,463,Entire,4,1,1,notshared,4,213,5,4.9,5,4.7,4.9,4.9,5
36067108,https://www.airbnb.com/rooms/36067108?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,209,Private,2,1,1,sharedbath,4,0,0,0,0,0,0,0,0
24609530,https://www.airbnb.com/rooms/24609530?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,474,Entire,5,2,1,notshared,6,44,4.5,4.8,4.7,4.6,4.6,4.6,4.9
22440046,https://www.airbnb.com/rooms/22440046?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,141,Private,2,1,1,sharedbath,6,3,4,4,4.3,4.7,5,5,5
34516187,https://www.airbnb.com/rooms/34516187?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,314,Room,4,1,1,notshared,4,0,0,0,0,0,0,0,0
31412664,https://www.airbnb.com/rooms/31412664?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,175,Private,2,1,1,sharedbath,4,4,5,5,5,4.7,5,5,5
19247214,https://www.airbnb.com/rooms/19247214?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,158,Private,4,1,1,sharedbath,4,29,3.5,4.1,4.5,3.7,4.5,4.5,4.8
22586352,https://www.airbnb.com/rooms/22586352?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,463,Entire,6,3,1,notshared,6,66,4.5,4.5,4.7,4.1,4.8,4.8,4.8
34516186,https://www.airbnb.com/rooms/34516186?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,368,Room,3,1,1,notshared,4,0,0,0,0,0,0,0,0
7917251,https://www.airbnb.com/rooms/7917251?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,305,Entire,3,1,1,notshared,4,99,4.5,4.5,5,4.3,4.9,4.9,4.7
